subject,age,gender,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,include_exclude_bfi,mean_a,mean_c,mean_e,mean_n,mean_o,include_exclude_bfi_mean,check_mean_a,check_mean_c,check_mean_e,check_mean_n,check_mean_o,mean1,mean2,SD,D,D_check,include_exclude_iat,exclude_duplicate_data,exclude_participant
329537,17,male,2,3,2,3,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,5,3,4,5,3,include,2.888888888888889,NA,NA,NA,4.1,include,Valid,NA,NA,NA,Valid,1112.225,845.9,735.7697182959791,-0.36196787306876493,within range,include,include,include
337414,31,female,3,4,3,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,1,4,3,4,3,include,3.6666666666666665,NA,NA,NA,3.2,include,Valid,NA,NA,NA,Valid,762.675,718.6375,262.910343005717,-0.16750006673964254,within range,include,include,include
339121,29,male,3,6,4,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,6,3,6,5,5,include,5.333333333333333,NA,NA,NA,4.6,include,Valid,NA,NA,NA,Valid,744.975,666.775,244.7093970520998,-0.31956271782791773,within range,include,include,include
343954,21,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,3,6,6,5,4,6,5,4,5,2,6,6,6,4,5,2,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,5,5,2.625,NA,include,NA,Valid,Valid,Valid,NA,979.025,897.8,373.40120947218975,-0.21752741539003911,within range,include,include,include
347838,21,female,2,5,3,4,3,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,6,4,4,3,4,NA,exclude,3.2222222222222223,NA,NA,NA,4.222222222222222,exclude,Valid,NA,NA,NA,Valid,892.65,616.075,350.83841317173744,-0.7883258777157188,within range,include,include,exclude
348671,26,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,2,3,3,4,2,2,2,2,3,2,2,2,3,4,5,4,4,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,2.888888888888889,2.25,4.125,NA,include,NA,Valid,Valid,Valid,NA,813.875,734.0375,227.1570237641314,-0.3514639286826512,within range,include,include,include
354340,32,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,5,4,4,5,5,4,3,4,3,3,4,5,4,2,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,4.444444444444445,3.75,2.375,NA,include,NA,Valid,Valid,Valid,NA,893.875,736.9,480.27183238577845,-0.32684615131438693,within range,include,include,include
357132,51,female,6,4,6,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,6,5,6,5,include,5.444444444444445,NA,NA,NA,5.5,include,Valid,NA,NA,NA,Valid,1426.325,1178.5625,396.14556042194494,-0.6254329841185189,within range,include,include,include
368445,25,male,2,6,1,1,6,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,3,6,6,NA,6,3,exclude,3.7777777777777777,NA,NA,NA,4,exclude,Valid,NA,NA,NA,Valid,668.45,656.75,237.85687561496079,-0.04918924445530779,within range,include,include,exclude
361490,41,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,2,3,5,5,6,3,6,3,6,6,4,5,2,3,3,3,4,4,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,4.111111111111111,4.375,3,NA,include,NA,Valid,Valid,Valid,NA,604.075,627.275,175.79093273207332,0.13197495251566554,within range,include,include,include
